tcgPlayerId,name,setName,setId,unopenedPrice,lastScrapedAt
"704149","30th Celebration ex Tin [Sylveon ex]","ME: 30th Celebration","24722",107.39,"2026-08-18T12:16:57.051Z"
"709037","30th Celebration ex Box Case","ME: 30th Celebration","24722",459.93,"2026-08-18T12:16:57.051Z"
"704191","30th Celebration Ultra-Premium Collection [Night]","ME: 30th Celebration","24722",531.1,"2026-08-18T12:16:57.051Z"
"704190","30th Celebration Ultra-Premium Collection [Day]","ME: 30th Celebration","24722",404.37,"2026-08-18T12:16:57.051Z"
"709029","30th Celebration Ultra-Premium Collection Case","ME: 30th Celebration","24722",2234.48,"2026-08-18T12:16:57.051Z"
"704150","30th Celebration Tin [Greninja ex]","ME: 30th Celebration","24722",83.77,"2026-08-18T12:16:57.051Z"
"704147","30th Celebration Tech Sticker Collection [Set of 2]","ME: 30th Celebration","24722",99.74,"2026-08-18T12:16:57.051Z"
"704146","30th Celebration Tech Sticker Collection [Lucario]","ME: 30th Celebration","24722",59.04,"2026-08-18T12:16:57.051Z"
"704145","30th Celebration Tech Sticker Collection [Alolan Exeggutor]","ME: 30th Celebration","24722",56.95,"2026-08-18T12:16:57.051Z"
"704155","30th Celebration Sylveon ex Box","ME: 30th Celebration","24722",84.85,"2026-08-18T12:16:57.051Z"
"704153","30th Celebration Poster Collection","ME: 30th Celebration","24722",65.04,"2026-08-18T12:16:57.051Z"
"704144","30th Celebration Pokemon Center Elite Trainer Box","ME: 30th Celebration","24722",482.84,"2026-08-18T12:16:57.051Z"
"696613","30th Celebration Pack","ME: 30th Celebration","24722",16.47,"2026-08-18T12:16:57.051Z"
"704181","30th Celebration Mini Tin [Zapdos]","ME: 30th Celebration","24722",80.35,"2026-08-18T12:16:57.051Z"
"704182","30th Celebration Mini Tin [Umbreon]","ME: 30th Celebration","24722",85.03,"2026-08-18T12:16:57.051Z"
"704184","30th Celebration Mini Tin [Night Pikachu]","ME: 30th Celebration","24722",72.44,"2026-08-18T12:16:57.051Z"
"704180","30th Celebration Mini Tin [Moltres]","ME: 30th Celebration","24722",73.66,"2026-08-18T12:16:57.051Z"
"704183","30th Celebration Mini Tin [Mewtwo]","ME: 30th Celebration","24722",78.04,"2026-08-18T12:16:57.051Z"
"704178","30th Celebration Mini Tin [Mew]","ME: 30th Celebration","24722",77.59,"2026-08-18T12:16:57.051Z"
"704179","30th Celebration Mini Tin [Lapras]","ME: 30th Celebration","24722",71.06,"2026-08-18T12:16:57.051Z"
"704185","30th Celebration Mini Tin [Greninja]","ME: 30th Celebration","24722",69.74,"2026-08-18T12:16:57.051Z"
"704176","30th Celebration Mini Tin [Espeon]","ME: 30th Celebration","24722",85.13,"2026-08-18T12:16:57.051Z"
"704177","30th Celebration Mini Tin [Day Pikachu]","ME: 30th Celebration","24722",88.07,"2026-08-18T12:16:57.051Z"
"709030","30th Celebration Mini Tin Display Case","ME: 30th Celebration","24722",1999.99,"2026-08-18T12:16:57.051Z"
"704186","30th Celebration Mini Tin Display","ME: 30th Celebration","24722",387.04,"2026-08-18T12:16:57.051Z"
"709035","30th Celebration Knock Out Collection Case","ME: 30th Celebration","24722",989.99,"2026-08-18T12:16:57.051Z"
"704152","30th Celebration Knock Out Collection","ME: 30th Celebration","24722",30.06,"2026-08-18T12:16:57.051Z"
"704168","30th Celebration Greninja ex Box","ME: 30th Celebration","24722",63.02,"2026-08-18T12:16:57.051Z"
"704194","30th Celebration Figure Collection [Mewtwo]","ME: 30th Celebration","24722",99.02,"2026-08-18T12:16:57.051Z"
"704193","30th Celebration Figure Collection [Mew]","ME: 30th Celebration","24722",127.28,"2026-08-18T12:16:57.051Z"
"709036","30th Celebration Elite Trainer Box Case","ME: 30th Celebration","24722",1854.68,"2026-08-18T12:16:57.051Z"
"704143","30th Celebration Elite Trainer Box","ME: 30th Celebration","24722",189.13,"2026-08-18T12:16:57.051Z"
"704189","30th Celebration Ditto Premium Collection","ME: 30th Celebration","24722",208.27,"2026-08-18T12:16:57.051Z"
"704192","30th Celebration Classic Collection Pack","ME: 30th Celebration","24722",244.87,"2026-08-18T12:16:57.051Z"
"709017","30th Celebration Booster Bundle Case","ME: 30th Celebration","24722",2399.95,"2026-08-18T12:16:57.051Z"
"704171","30th Celebration Booster Bundle","ME: 30th Celebration","24722",92.01,"2026-08-18T12:16:57.051Z"
"709032","30th Celebration Binder Collection Case","ME: 30th Celebration","24722",469,"2026-08-18T12:16:57.051Z"
"704169","30th Celebration Binder Collection","ME: 30th Celebration","24722",64.62,"2026-08-18T12:16:57.051Z"
"704188","30th Celebration Battle Deck [Umbreon ex]","ME: 30th Celebration","24722",35.08,"2026-08-18T12:16:57.051Z"
"704187","30th Celebration Battle Deck [Espeon ex]","ME: 30th Celebration","24722",41.74,"2026-08-18T12:16:57.051Z"
"704148","30th Celebration 2-Pack Blister","ME: 30th Celebration","24722",55.31,"2026-08-18T12:16:57.051Z"
"692958","Pitch Black Sleeved Booster Pack Art Bundle [Set of 4]","ME05: Pitch Black","24688",27.83,"2026-08-18T12:16:57.102Z"
"692957","Pitch Black Sleeved Booster Pack","ME05: Pitch Black","24688",7.31,"2026-08-18T12:16:57.102Z"
"692956","Pitch Black Sleeved Booster Case","ME05: Pitch Black","24688",923.34,"2026-08-18T12:16:57.102Z"
"692955","Pitch Black Single Pack Blister [Slowpoke]","ME05: Pitch Black","24688",9.01,"2026-08-18T12:16:57.102Z"
"692953","Pitch Black Premium Checklane Blister [Tyrunt, Tyrantrum] (Target Exclusive)","ME05: Pitch Black","24688",18.85,"2026-08-18T12:16:57.102Z"
"692952","Pitch Black Premium Checklane Blister [Luxray Line]","ME05: Pitch Black","24688",18.18,"2026-08-18T12:16:57.102Z"
"692951","Pitch Black Premium Checklane Blister [Gengar Line]","ME05: Pitch Black","24688",21.25,"2026-08-18T12:16:57.102Z"
"692954","Pitch Black Premium Checklane Blister [Amaura, Aurorus] (Target Exclusive)","ME05: Pitch Black","24688",17.59,"2026-08-18T12:16:57.102Z"
"692950","Pitch Black Pokemon Center Elite Trainer Box Case (Exclusive)","ME05: Pitch Black","24688",394.9825,"2026-07-17T20:56:06.108Z"
"692949","Pitch Black Pokemon Center Elite Trainer Box (Exclusive)","ME05: Pitch Black","24688",122.46,"2026-08-18T12:16:57.102Z"
"692940","Pitch Black Half Booster Boxes","ME05: Pitch Black","24688",8.99,"2026-07-23T12:21:27.727Z"
"692948","Pitch Black Elite Trainer Box Case","ME05: Pitch Black","24688",679.85,"2026-08-18T12:16:57.102Z"
"692947","Pitch Black Elite Trainer Box","ME05: Pitch Black","24688",72.29,"2026-08-18T12:16:57.102Z"
"693586","Pitch Black Build & Battle Box Display","ME05: Pitch Black","24688",395.88,"2026-08-18T12:16:57.102Z"
"692946","Pitch Black Build & Battle Box","ME05: Pitch Black","24688",38.28,"2026-08-18T12:16:57.102Z"
"692945","Pitch Black Booster Pack Art Bundle [Set of 4]","ME05: Pitch Black","24688",30.68,"2026-08-18T12:16:57.102Z"
"692944","Pitch Black Booster Pack","ME05: Pitch Black","24688",6.05,"2026-08-18T12:16:57.102Z"
"692943","Pitch Black Booster Bundle Case","ME05: Pitch Black","24688",809.12,"2026-08-18T12:16:57.102Z"
"692942","Pitch Black Booster Bundle","ME05: Pitch Black","24688",38.15,"2026-08-18T12:16:57.102Z"
"692941","Pitch Black Booster Box Case","ME05: Pitch Black","24688",993.85,"2026-08-18T12:16:57.102Z"
"692939","Pitch Black Booster Box","ME05: Pitch Black","24688",179.59,"2026-08-18T12:16:57.102Z"
"692938","Pitch Black 3-Pack Blister [Binacle]","ME05: Pitch Black","24688",22.97,"2026-08-18T12:16:57.102Z"
"693589","Pitch Black 3-Pack Blister Case","ME05: Pitch Black","24688",636.23,"2026-08-18T12:16:57.102Z"
"684449","Chaos Rising Sleeved Booster Pack Art Bundle [Set of 4]","ME04: Chaos Rising","24655",27.92,"2026-08-18T12:16:57.104Z"
"684448","Chaos Rising Sleeved Booster Pack","ME04: Chaos Rising","24655",7.12,"2026-08-18T12:16:57.104Z"
"690684","Chaos Rising Sleeved Booster Case","ME04: Chaos Rising","24655",1007.69,"2026-08-18T12:16:57.104Z"
"696144","Chaos Rising Single Pack Blister [Zacian/Mimikyu]","ME04: Chaos Rising","24655",25.03,"2026-08-18T12:16:57.104Z"
"684457","Chaos Rising Single Pack Blister [Toxel]","ME04: Chaos Rising","24655",7.58,"2026-08-18T12:16:57.104Z"
"696150","Chaos Rising Single Pack Blister [Reshiram/Moltres]","ME04: Chaos Rising","24655",25.75,"2026-08-18T12:16:57.104Z"
"684459","Chaos Rising Premium Checklane Blister [Pawmot Line]","ME04: Chaos Rising","24655",15.57,"2026-08-18T12:16:57.104Z"
"684460","Chaos Rising Premium Checklane Blister [Flygon Line]","ME04: Chaos Rising","24655",16.51,"2026-08-18T12:16:57.104Z"
"684453","Chaos Rising Pokemon Center Elite Trainer Box Case","ME04: Chaos Rising","24655",840,"2026-06-20T04:16:43.428Z"
"684452","Chaos Rising Pokemon Center Elite Trainer Box","ME04: Chaos Rising","24655",138.69,"2026-08-18T12:16:57.104Z"
"684451","Chaos Rising Elite Trainer Box Case","ME04: Chaos Rising","24655",725.8,"2026-08-18T12:16:57.104Z"
"684450","Chaos Rising Elite Trainer Box","ME04: Chaos Rising","24655",69.94,"2026-08-18T12:16:57.104Z"
